,X,Y,date,I_131_(Bq/m3)
514,11.34,48.0,1986-05-21,0.12916666666666637
515,11.34,48.0,1986-05-22,0.11624999999999969
516,11.34,48.0,1986-05-23,0.103333333333333
517,11.34,48.0,1986-05-24,0.09041666666666631
518,11.34,48.0,1986-05-25,0.07749999999999962
519,11.34,48.0,1986-05-26,0.06458333333333294
520,11.34,48.0,1986-05-27,0.05166666666666625
521,11.34,48.0,1986-05-28,0.03874999999999956
522,11.34,48.0,1986-05-29,0.025833333333332875
523,11.34,48.0,1986-05-30,0.012916666666666188
524,11.34,48.0,1986-05-31,0.0
525,10.75,52.81,1986-04-27,0.0
526,10.75,52.81,1986-04-28,0.032
527,10.75,52.81,1986-04-29,0.064
528,10.75,52.81,1986-04-30,0.096
529,10.75,52.81,1986-05-01,0.128
530,10.75,52.81,1986-05-02,0.16
531,10.75,52.81,1986-05-03,0.22
532,10.75,52.81,1986-05-04,0.58
533,10.75,52.81,1986-05-05,0.55
534,10.75,52.81,1986-05-06,0.76
535,10.75,52.81,1986-05-07,0.3
536,10.75,52.81,1986-05-08,0.2875
537,10.75,52.81,1986-05-09,0.27499999999999997
538,10.75,52.81,1986-05-10,0.26249999999999996
539,10.75,52.81,1986-05-11,0.24999999999999994
540,10.75,52.81,1986-05-12,0.23749999999999993
541,10.75,52.81,1986-05-13,0.22499999999999992
542,10.75,52.81,1986-05-14,0.2124999999999999
543,10.75,52.81,1986-05-15,0.1999999999999999
544,10.75,52.81,1986-05-16,0.1874999999999999
545,10.75,52.81,1986-05-17,0.17499999999999988
546,10.75,52.81,1986-05-18,0.16249999999999987
547,10.75,52.81,1986-05-19,0.14999999999999986
548,10.75,52.81,1986-05-20,0.13749999999999984
549,10.75,52.81,1986-05-21,0.12499999999999983
550,10.75,52.81,1986-05-22,0.11249999999999982
551,10.75,52.81,1986-05-23,0.09999999999999981
552,10.75,52.81,1986-05-24,0.0874999999999998
553,10.75,52.81,1986-05-25,0.07499999999999979
554,10.75,52.81,1986-05-26,0.06249999999999978
555,10.75,52.81,1986-05-27,0.04999999999999977
556,10.75,52.81,1986-05-28,0.037499999999999756
557,10.75,52.81,1986-05-29,0.024999999999999745
558,10.75,52.81,1986-05-30,0.012499999999999734
559,10.75,52.81,1986-05-31,0.0
560,5.75,43.71,1986-04-27,0.0
561,5.75,43.71,1986-04-28,0.075
562,5.75,43.71,1986-04-29,0.15
563,5.75,43.71,1986-04-30,0.22499999999999998
564,5.75,43.71,1986-05-01,0.3
565,5.75,43.71,1986-05-02,6.299999
566,5.75,43.71,1986-05-03,5.9
567,5.75,43.71,1986-05-04,6.599999
568,5.75,43.71,1986-05-05,1.4
569,5.75,43.71,1986-05-06,0.5
570,5.75,43.71,1986-05-07,0.025
571,5.75,43.71,1986-05-08,0.0875
572,5.75,43.71,1986-05-09,0.15
573,5.75,43.71,1986-05-10,0.06
574,5.75,43.71,1986-05-11,0.06
575,5.75,43.71,1986-05-12,0.056999999999999995
576,5.75,43.71,1986-05-13,0.05399999999999999
577,5.75,43.71,1986-05-14,0.05099999999999999
578,5.75,43.71,1986-05-15,0.04799999999999999
579,5.75,43.71,1986-05-16,0.044999999999999984
580,5.75,43.71,1986-05-17,0.04199999999999998
581,5.75,43.71,1986-05-18,0.03899999999999998
582,5.75,43.71,1986-05-19,0.035999999999999976
583,5.75,43.71,1986-05-20,0.032999999999999974
584,5.75,43.71,1986-05-21,0.02999999999999997
585,5.75,43.71,1986-05-22,0.02699999999999997
586,5.75,43.71,1986-05-23,0.023999999999999966
587,5.75,43.71,1986-05-24,0.020999999999999963
588,5.75,43.71,1986-05-25,0.01799999999999996
589,5.75,43.71,1986-05-26,0.014999999999999958
590,5.75,43.71,1986-05-27,0.011999999999999955
591,5.75,43.71,1986-05-28,0.008999999999999952
592,5.75,43.71,1986-05-29,0.00599999999999995
